TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
LA GRANDE VADROUILLE;26/12/1999;France 2;France;8,99289;39,8
JUSTE CAUSE;12/12/1999;France 2;Etats-Unis;8,57217;35,1
PIÈGE DE CRISTAL;09/03/1999;France 2;Etats-Unis;7,8885;34,6
IMPITOYABLE;28/02/1999;France 2;Etats-Unis;7,46778;33,4
CROCODILE DUNDEE 2;28/09/1999;France 2;Australie;7,3626;31,2
LES GRANDES GUEULES;22/03/1999;France 3;France;7,15224;33,6
L'EXPERT;02/12/1999;France 3;Etats-Unis;6,36339;28,3
ASSASSINS;08/03/1999;France 3;Etats-Unis;6,04785;27,3
LE GRAND RESTAURANT;27/12/1999;France 3;France;5,99526;26,6
COBRA;17/05/1999;France 3;Etats-Unis;5,7849;24
LA TULIPE NOIRE;01/01/1999;France 5;France;1,41993;13,8
LES TROIS MOUSQUETAIRES;19/04/1999;France 5;France;1,20957;18,4
LE GORILLE VOUS SALUE BIEN;22/02/1999;France 5;France;1,20957;14,7
ALLEZ FRANCE;15/02/1999;France 5;France;1,20957;13,1
FLIC STORY;26/04/1999;France 5;France;1,10439;17,2
QUAI DES ORFÈVRES;10/01/1999;Arte;France;2,57691;10,1
LITTLE BIG MAN;25/04/1999;Arte;Etats-Unis;2,36655;11,4
SALOMON ET LA REINE DE SABA;07/11/1999;Arte;Etats-Unis;2,31396;9,6
LES COMPAGNONS DE LA NOUBA;20/12/1999;Arte;Etats-Unis;2,26137;9
LES GRANDES FAMILLES;11/04/1999;Arte;France;2,20878;9,1
PRETTY WOMAN;21/02/1999;TF1;Etats-Unis;11,46462;47,3
LE FUGITIF;21/11/1999;TF1;Etats-Unis;11,30685;47,8
LES VISITEURS;16/03/1999;TF1;France;10,67577;47,8
DIDIER;18/05/1999;TF1;France;10,46541;48,1
INSPECTEUR LA BAVURE;12/01/1999;TF1;France;10,41282;44,1
CORRINA CORRINA;11/01/1999;M6;Etats-Unis;6,36339;27,3
TURNER ET HOOCH;28/02/1999;M6;Etats-Unis;6,10044;25,4
LA MUTANTE;29/03/1999;M6;Etats-Unis;5,15382;22,3
OPÉRATION DRAGON;15/02/1999;M6;Etats-Unis;5,15382;20,9
LE BOULANGER DE VALORGUE;21/01/1999;M6;France;4,78569;22,6
MEURTRE À LA MAISON BLANCHE;28/11/2000;France 2;Etats-Unis;8,87208;35,2
LE BONHEUR EST DANS LE PRÉ;10/10/2000;France 2;France;8,76646;36,2
LA VÉRITÉ SI JE MENS;04/04/2000;France 2;France;8,4496;34,3
MANON DES SOURCES;08/02/2000;France 2;France;7,76307;34,9
LA RANÇON;06/11/2000;France 2;Etats-Unis;7,65745;30,9
LES VISITEURS 2;07/12/2000;France 3;France;8,02712;34,9
LE MUR DE L'ATLANTIQUE;20/01/2000;France 3;France;5,86191;28,7
MARS ATTACKS;02/03/2000;France 3;Etats-Unis;5,86191;24,8
COMMANDO;12/10/2000;France 3;Etats-Unis;5,70348;23,3
LE GENDARME ET LES EXTRA-TERRESTRE;06/07/2000;France 3;France;5,59786;27,2
POISSON D'AVRIL;02/10/2000;France 5;France;1,32025;19,5
TENDRE POULET;03/01/2000;France 5;France;1,26744;13,8
LE TONNERRE DE DIEU;16/10/2000;France 5;France/Allemagne/Italie;1,21463;16,2
COUP DE FOUDRE;30/10/2000;France 5;France;1,0562;12,4
LES PORTES DE LA NUIT;24/01/2000;France 5;France;1,00339;13,3
MARIUS ET JEANNETTE;01/05/2000;Arte;France;3,85513;17,7
OUT OF AFRICA;02/01/2000;Arte;Etats-Unis;2,74612;12,8
LE MAÎTRE DES ÎLES;24/09/2000;Arte;Etats-Unis;2,6405;12,6
CHÉRIE JE ME SENS RAJEUNIR;16/01/2000;Arte;Etats-Unis;2,42926;10,3
FRENCH CANCAN;05/11/2000;Arte;France/Italie;2,37645;9,3
TAXI;26/09/2000;TF1;France;12,04068;47,3
INDEPENDENCE DAY;20/02/2000;TF1;Etats-Unis;11,03729;48,8
LES BRONZÉS FONT DU SKI;18/01/2000;TF1;France;10,98448;47,9
LE PIC DE DANTE;08/10/2000;TF1;Etats-Unis;10,29795;42,4
LE PARI;28/03/2000;TF1;France;10,29795;41,1
LE MAÎTRE DE GUERRE;27/11/2000;M6;Etats-Unis;5,75629;26,8
RISQUE MAXIMUM;27/03/2000;M6;Etats-Unis;5,49224;23,4
BREAKDOWN;13/11/2000;M6;Etats-Unis;4,96414;20,9
LES EVADÉS;13/03/2000;M6;Etats-Unis;4,80571;23,7
BLOW AWAY;03/04/2000;M6;Etats-Unis;4,7529;21,3
Etats-Unis MARSHALS;02/10/2001;France 2;Etats-Unis;10,0434;43,7
DR DOLITTLE;30/10/2001;France 2;Etats-Unis;8,56332;34,2
LES ENFANTS DU MARAIS;18/09/2001;France 2;France;7,45326;33,7
SILVERADO;07/01/2001;France 2;France;7,03038;31,3
PIÈGE EN HAUTE MER;06/03/2001;France 2;Etats-Unis;6,97752;28,5
L'EXPERT;29/03/2001;France 3;Etats-Unis;6,76608;29,6
LE GENDARME EN BALADE;30/08/2001;France 3;France;6,29034;29,7
RETOUR VERS LE FUTUR III;04/01/2001;France 3;Etats-Unis;6,0789;25,8
LE MONDE PERDU JURASSIC PARK;16/04/2001;France 3;Etats-Unis;6,02604;25,5
FORTUNAT;15/10/2001;France 3;France/Italie;5,5503;24,8
TENDRE VOYOU;01/01/2001;France 5;France/Italie;1,0572;8
LE PEUPLE SINGE;24/12/2001;France 5;France;0,7929;7,9
UN SPÉCIALISTE/PORTRAIT D'UN CRIMINEL MODERNE ;18/06/2001;France 5;France;0,21144;3,1
PLANÈTE INTERDITE;01/01/2001;France 5;Etats-Unis;0,10572;11,8
VÉNUS BEAUTÉ INSTITUT;04/10/2001;Arte;France;2,96016;12,3
NEVADA SMITH;17/12/2001;Arte;Etats-Unis;2,53728;11,1
TOUCHEZ PAS AU GRISBI;07/10/2001;Arte;France;2,43156;9,6
LES VIKINGS;11/11/2001;Arte;Etats-Unis;2,27298;9,3
L'ARNAQUE;21/10/2001;Arte;Etats-Unis;2,22012;9,5
LE DÎNER DE CONS;29/05/2001;TF1;France;11,68206;50,3
ASTERIX ET OBELIX CONTRE CÉSAR;23/10/2001;TF1;France;10,51914;43
LES AVENTURES DE RABBI JACOB;30/12/2001;TF1;France;9,83196;38,8
58 MINUTES POUR VIVRE;25/02/2001;TF1;Etats-Unis;9,7791;42,6
LE DERNIER SAMARITAIN;14/01/2001;TF1;Etats-Unis;9,62052;40,2
LE CERVEAU;18/03/2001;M6;France/Italie;6,02604;27,1
BAD BOYS FLICS DE CHOC;22/01/2001;M6;Etats-Unis;6,02604;26,8
MONEY TRAIN;05/02/2001;M6;Etats-Unis;5,65602;24,6
SENS UNIQUE;26/02/2001;M6;Etats-Unis;5,60316;24,3
LE GRAND TOURNOI;19/02/2001;M6;Etats-Unis;5,23314;21,3
L'ARME FATALE 4;10/03/2002;France 2;Etats-Unis;8,639;36,9
SPEED;23/04/2002;France 2;Etats-Unis;7,473;33,3
LES PLEINS POUVOIRS;24/11/2002;France 2;Etats-Unis;7,367;30,8
HAUTE VOLTIGE;05/11/2002;France 2;Etats-Unis;6,943;31,1
MEURTRE À LA MAISON BLANCHE;03/09/2002;France 2;Etats-Unis;6,572;29,7
LA VIE EST BELLE;14/01/2002;France 3;Italie;7,155;30,6
L'EFFACEUR;14/03/2002;France 3;Etats-Unis;6,519;28,3
LE BONHEUR EST DANS LE PRÉ;05/12/2002;France 3;France;6,466;27,9
LE FUGITIF;28/11/2002;France 3;Etats-Unis;5,936;25,9
LA RANÇON;17/10/2002;France 3;Etats-Unis;5,247;23,3
LE PEUPLE SINGE;01/11/2002;France 5;France;0,795;8,3
POUCELINA;03/01/2002;France 5;Etats-Unis;0,742;10,2
LE ROI ET L'OISEAU;01/01/2002;France 5;France;0,742;6,8
FIFI BRINDACIER;04/01/2002;France 5;Allemagne;0,689;9
AU BONHEUR DES DAMES;28/08/2002;France 5;France;0,53;10,8
MAIGRET TEND UN PIÈGE;14/10/2002;Arte;France/Italie;2,597;10,3
JEREMIAH JOHNSON;31/03/2002;Arte;Etats-Unis;2,332;11,7
MON ONCLE;30/12/2002;Arte;France/Italie;2,332;9,9
SALOMON ET LA REINE DE SABA;27/01/2002;Arte;Etats-Unis;2,279;10
LA BELLE AMÉRICAINE;12/05/2002;Arte;France;2,12;9,2
6 JOURS 7 NUITS;17/02/2002;TF1;Etats-Unis;10,971;44
TAXI 2;01/10/2002;TF1;France;10,388;42,4
LE MASQUE DE ZORRO;14/04/2002;TF1;Etats-Unis;10,335;44,7
LE FLIC DE BEVERLY HILLS 3;08/01/2002;TF1;Etats-Unis;9,858;40,3
UN INDIEN DANS LA VILLE;22/12/2002;TF1;France;9,858;39,7
LA VÉRITÉ SI JE MENS;16/09/2002;M6;France;5,565;25,2
LE CAVE SE REBIFFE;16/06/2002;M6;France/Italie;5,406;30,7
JACKIE CHAN DANS LE BRONX;18/02/2002;M6;Hong Kong;5,3;20,6
LES BARBOUZES;09/06/2002;M6;France;5,088;25,7
RONIN;25/02/2002;M6;Etats-Unis;4,823;21,5
LE PÈRE NOËL EST UNE ORDURE;21/12/2003;France 2;France;7,67808;29,8
MATRIX;18/05/2003;France 2;Etats-Unis;7,51812;32,8
LES TONTONS FLINGUEURS;02/12/2003;France 2;France;7,51812;31,3
UN CRIME AU PARADIS;11/03/2003;France 2;France;7,51812;30
