TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes,Année de sortie,Genres,Durée (en min.)
LA GRANDE VADROUILLE,1999-12-26,France 2,France,8.99289,39.8,Sunday,oui,tt0060474,7.9,20921,1966,"Adventure,Comedy,War",132
JUSTE CAUSE,1999-12-12,France 2,Etats-Unis,8.57217,35.1,Sunday,non,tt0113501,6.4,30260,1995,"Action,Crime,Drama",102
PIEGE DE CRISTAL,1999-03-09,France 2,Etats-Unis,7.8885,34.6,Tuesday,non,tt0095016,8.2,976137,1988,"Action,Thriller",132
IMPITOYABLE,1999-02-28,France 2,Etats-Unis,7.46778,33.4,Sunday,oui,tt0105695,8.2,446922,1992,"Drama,Western",130
CROCODILE DUNDEE II,1999-09-28,France 2,Australie,7.3626,31.2,Tuesday,non,tt0092493,5.7,61902,1988,"Action,Adventure,Comedy",111
LES GRANDES GUEULES,1999-03-22,France 3,France,7.15224,33.6,Monday,non,tt0059241,6.9,1163,1965,"Action,Comedy,Crime",128
L'EXPERT,1999-12-02,France 3,Etats-Unis,6.36339,28.3,Thursday,non,tt0111255,5.6,71008,1994,"Action,Drama,Thriller",110
ASSASSINS,1999-03-08,France 3,Etats-Unis,6.04785,27.3,Monday,non,tt0112401,6.3,89600,1995,"Action,Crime,Thriller",133
LE GRAND RESTAURANT,1999-12-27,France 3,France,5.99526,26.6,Monday,oui,tt0061728,6.7,6870,1966,"Action,Comedy",85
COBRA,1999-05-17,France 3,Etats-Unis,5.7849,24.0,Monday,non,tt0090859,5.8,81584,1986,"Action,Crime,Thriller",87
LA TULIPE NOIRE,1999-01-01,France 5,France,1.41993,13.8,Friday,non,tt0058692,6.6,2941,1964,"Action,Adventure,Comedy",115
LES TROIS MOUSQUETAIRES,1999-04-19,France 5,France,1.20957,18.4,Monday,oui,tt1509767,5.7,113274,2011,"Action,Adventure,Fantasy",110
LE GORILLE VOUS SALUE BIEN,1999-02-22,France 5,France,1.20957,14.7,Monday,oui,tt0052858,5.9,369,1958,"Action,Crime,Drama",90
ALLEZ FRANCE,1999-02-15,France 5,France,1.20957,13.1,Monday,oui,tt0057834,6.2,302,1964,Comedy,90
FLIC STORY,1999-04-26,France 5,France,1.10439,17.2,Monday,oui,tt0072996,6.9,3168,1975,"Crime,Drama,Thriller",112
QUAI DES ORFEVRES,1999-01-10,Arte,France,2.57691,10.1,Sunday,non,tt0039739,7.7,6595,1947,"Crime,Drama",106
LITTLE BIG MAN,1999-04-25,Arte,Etats-Unis,2.36655,11.4,Sunday,oui,tt0065988,7.5,38625,1970,"Adventure,Comedy,Drama",139
SALOMON ET LA REINE DE SABA,1999-11-07,Arte,Etats-Unis,2.31396,9.6,Sunday,oui,tt0053290,6.1,3908,1959,"Drama,History,Romance",141
LES COMPAGNONS DE LA NOUBA,1999-12-20,Arte,Etats-Unis,2.26137,9.0,Monday,oui,tt0024601,7.5,9854,1933,"Comedy,Family",68
LES GRANDES FAMILLES,1999-04-11,Arte,France,2.20878,9.1,Sunday,oui,tt0051679,6.9,612,1958,Drama,92
PRETTY WOMAN,1999-02-21,TF1,Etats-Unis,11.46462,47.3,Sunday,oui,tt0100405,7.1,377765,1990,"Comedy,Romance",119
LE FUGITIF,1999-11-21,TF1,Etats-Unis,11.30685,47.8,Sunday,non,tt0106977,7.8,327806,1993,"Action,Crime,Drama",130
LES VISITEURS,1999-03-16,TF1,France,10.67577,47.8,Tuesday,non,tt0108500,7.0,39016,1993,"Comedy,Fantasy",107
DIDIER,1999-05-18,TF1,France,10.46541,48.1,Tuesday,non,tt0118976,6.3,4951,1997,"Comedy,Fantasy,Sport",105
INSPECTEUR LA BAVURE,1999-01-12,TF1,France,10.41282,44.1,Tuesday,non,tt0080929,6.2,2229,1980,"Comedy,Crime",100
CORRINA CORRINA,1999-01-11,M6,Etats-Unis,6.36339,27.3,Monday,non,tt0109484,6.6,14490,1994,"Comedy,Drama,Romance",115
TURNER ET HOOCH,1999-02-28,M6,Etats-Unis,6.10044,25.4,Sunday,oui,tt0098536,6.2,77888,1989,"Comedy,Crime,Drama",97
LA MUTANTE,1999-03-29,M6,Etats-Unis,5.15382,22.3,Monday,non,tt0114508,5.9,87938,1995,"Action,Horror,Sci-Fi",108
OPERATION DRAGON,1999-02-15,M6,Etats-Unis,5.15382,20.9,Monday,oui,tt0070034,7.6,115320,1973,"Action,Crime,Thriller",102
LE BOULANGER DE VALORGUE,1999-01-21,M6,France,4.78569,22.6,Thursday,non,tt0044441,6.4,297,1953,Comedy,103
MEURTRE A LA MAISON BLANCHE,2000-11-28,France 2,Etats-Unis,8.87208,35.2,Tuesday,non,tt0119731,6.1,33478,1997,"Action,Crime,Drama",107
LE BONHEUR EST DANS LE PRE,2000-10-10,France 2,France,8.76646,36.2,Tuesday,non,tt0112556,7.0,3033,1995,Comedy,106
LA VERITE SI JE MENS,2000-04-04,France 2,France,8.4496,34.3,Tuesday,non,tt0120471,6.4,5027,1997,"Comedy,Romance",100
MANON DES SOURCES,2000-02-08,France 2,France,7.76307,34.9,Tuesday,non,tt0091480,8.0,24505,1986,Drama,113
LA RANCON,2000-11-06,France 2,Etats-Unis,7.65745,30.9,Monday,oui,tt0117438,6.7,138266,1996,"Action,Crime,Drama",121
LES VISITEURS II,2000-12-07,France 3,France,8.02712,34.9,Thursday,non,tt0120882,6.1,13680,1998,"Comedy,Fantasy",118
LE MUR DE L'ATLANTIQUE,2000-01-20,France 3,France,5.86191,28.7,Thursday,non,tt0066108,5.8,885,1970,"Comedy,War",107
MARS ATTACKS,2000-03-02,France 3,Etats-Unis,5.86191,24.8,Thursday,non,tt0116996,6.4,249632,1996,"Comedy,Sci-Fi",106
COMMANDO,2000-10-12,France 3,Etats-Unis,5.70348,23.3,Thursday,non,tt0088944,6.7,179317,1985,"Action,Adventure,Thriller",90
LE GENDARME ET LES EXTRA-TERRESTRE,2000-07-06,France 3,France,5.59786,27.2,Thursday,non,tt0079200,6.3,9792,1979,"Comedy,Crime,Sci-Fi",96
POISSON D'AVRIL,2000-10-02,France 5,France,1.32025,19.5,Monday,non,tt0047358,5.7,308,1954,Comedy,102
TENDRE POULET,2000-01-03,France 5,France,1.26744,13.8,Monday,oui,tt0076808,6.7,1191,1977,"Action,Comedy,Crime",105
LE TONNERRE DE DIEU,2000-10-16,France 5,France/Allemagne/Italie,1.21463,16.2,Monday,non,tt0059823,6.6,557,1965,"Comedy,Drama",91
COUP DE FOUDRE,2000-10-30,France 5,France,1.0562,12.4,Monday,oui,tt0085370,7.0,2343,1983,"Biography,Drama,Romance",110
LES PORTES DE LA NUIT,2000-01-24,France 5,France,1.00339,13.3,Monday,non,tt0038853,7.1,1325,1946,"Drama,Fantasy,Mystery",100
MARIUS ET JEANNETTE,2000-05-01,Arte,France,3.85513,17.7,Monday,non,tt0119620,6.9,1774,1997,"Comedy,Drama,Romance",105
OUT OF AFRICA,2000-01-02,Arte,Etats-Unis,2.74612,12.8,Sunday,oui,tt0089755,7.1,88273,1985,"Biography,Drama,Romance",161
LE MAITRE DES ILES,2000-09-24,Arte,Etats-Unis,2.6405,12.6,Sunday,non,tt0065820,6.1,1480,1970,"Adventure,Drama",134
CHERIE JE ME SENS RAJEUNIR,2000-01-16,Arte,Etats-Unis,2.42926,10.3,Sunday,non,tt0044916,6.9,15855,1952,"Comedy,Sci-Fi",97
FRENCH CANCAN,2000-11-05,Arte,France/Italie,2.37645,9.3,Sunday,oui,tt0046998,7.3,4598,1955,"Comedy,Drama,Musical",102
TAXI,2000-09-26,TF1,France,12.04068,47.3,Tuesday,non,tt0152930,7.0,91586,1998,"Action,Comedy,Crime",89
INDEPENDENCE DAY,2000-02-20,TF1,Etats-Unis,11.03729,48.8,Sunday,oui,tt0116629,7.0,620277,1996,"Action,Adventure,Sci-Fi",145
LES BRONZES FONT DU SKI,2000-01-18,TF1,France,10.98448,47.9,Tuesday,non,tt0078907,7.4,9478,1979,Comedy,90
LE PIC DE DANTE,2000-10-08,TF1,Etats-Unis,10.29795,42.4,Sunday,non,tt0118928,6.0,102035,1997,"Action,Adventure,Thriller",108
LE PARI,2000-03-28,TF1,France,10.29795,41.1,Tuesday,non,tt0119863,6.3,4435,1997,Comedy,100
LE MAITRE DE GUERRE,2000-11-27,M6,Etats-Unis,5.75629,26.8,Monday,non,tt0091187,6.8,49568,1986,"Drama,War",130
RISQUE MAXIMUM,2000-03-27,M6,Etats-Unis,5.49224,23.4,Monday,non,tt0117011,5.6,24532,1996,"Action,Crime,Thriller",101
BREAKDOWN,2000-11-13,M6,Etats-Unis,4.96414,20.9,Monday,non,tt0129943,4.0,274,1989,"Horror,Thriller",95
LES EVADES,2000-03-13,M6,Etats-Unis,4.80571,23.7,Monday,non,tt0111161,9.3,2984330,1994,Drama,142
BLOWN AWAY,2000-04-03,M6,Etats-Unis,4.7529,21.3,Monday,non,tt0109303,6.2,34705,1994,"Action,Crime,Drama",121
US MARSHALS,2001-10-02,France 2,Etats-Unis,10.0434,43.7,Tuesday,non,tt0120873,6.6,116450,1998,"Action,Crime,Thriller",131
DR DOLITTLE,2001-10-30,France 2,Etats-Unis,8.56332,34.2,Tuesday,oui,tt0118998,5.4,103990,1998,"Comedy,Family,Fantasy",85
LES ENFANTS DU MARAIS,2001-09-18,France 2,France,7.45326,33.7,Tuesday,non,tt0167926,7.4,3201,1999,"Comedy,Drama",115
SILVERADO,2001-01-07,France 2,France,7.03038,31.3,Sunday,oui,tt0090022,7.2,51238,1985,"Action,Crime,Drama",133
PIEGE EN HAUTE MER,2001-03-06,France 2,Etats-Unis,6.97752,28.5,Tuesday,non,tt0105690,6.5,97866,1992,"Action,Thriller",103
L'EXPERT,2001-03-29,France 3,Etats-Unis,6.76608,29.6,Thursday,non,tt0111255,5.6,71008,1994,"Action,Drama,Thriller",110
LE GENDARME EN BALADE,2001-08-30,France 3,France,6.29034,29.7,Thursday,oui,tt0065769,6.5,7655,1970,"Comedy,Crime",107
RETOUR VERS LE FUTUR III,2001-01-04,France 3,Etats-Unis,6.0789,25.8,Thursday,oui,tt0099088,7.4,493426,1990,"Adventure,Comedy,Sci-Fi",118
LE MONDE PERDU JURASSIC PARK,2001-04-16,France 3,Etats-Unis,6.02604,25.5,Monday,oui,tt0119567,6.6,453413,1997,"Action,Adventure,Sci-Fi",129
FORTUNAT,2001-10-15,France 3,France/Italie,5.5503,24.8,Monday,non,tt0122492,7.0,330,1960,"Comedy,Drama,War",121
TENDRE VOYOU,2001-01-01,France 5,France/Italie,1.0572,8.0,Monday,oui,tt0061076,5.7,440,1966,Comedy,94
LE PEUPLE SINGE,2001-12-24,France 5,France,0.7929,7.9,Monday,oui,tt0098088,7.1,96,1989,"Documentary,Family",85
UN SPECIALISTE/PORTRAIT D'UN CRIMINEL MODERNE ,2001-06-18,France 5,France,0.21144,3.1,Monday,non,tt0189172,7.3,390,1999,Documentary,128
PLANETE INTERDITE,2001-01-01,France 5,Etats-Unis,0.10572,11.8,Monday,oui,tt0049223,7.5,54756,1956,"Adventure,Sci-Fi",98
VENUS BEAUTE INSTITUT,2001-10-04,Arte,France,2.96016,12.3,Thursday,non,tt0174330,6.3,4456,1999,"Comedy,Drama,Romance",105
NEVADA SMITH,2001-12-17,Arte,Etats-Unis,2.53728,11.1,Monday,non,tt0060748,6.9,9342,1966,"Drama,Western",128
