TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
LA GRANDE VADROUILLE,1999-12-26,France 2,France,8.99289,39.8,Sunday,oui
JUSTE CAUSE,1999-12-12,France 2,Etats-Unis,8.57217,35.1,Sunday,non
PIÈGE DE CRISTAL,1999-03-09,France 2,Etats-Unis,7.8885,34.6,Tuesday,non
IMPITOYABLE,1999-02-28,France 2,Etats-Unis,7.46778,33.4,Sunday,oui
CROCODILE DUNDEE 2,1999-09-28,France 2,Australie,7.3626,31.2,Tuesday,non
LES GRANDES GUEULES,1999-03-22,France 3,France,7.15224,33.6,Monday,non
L'EXPERT,1999-12-02,France 3,Etats-Unis,6.36339,28.3,Thursday,non
ASSASSINS,1999-03-08,France 3,Etats-Unis,6.04785,27.3,Monday,non
LE GRAND RESTAURANT,1999-12-27,France 3,France,5.99526,26.6,Monday,oui
COBRA,1999-05-17,France 3,Etats-Unis,5.7849,24.0,Monday,non
LA TULIPE NOIRE,1999-01-01,France 5,France,1.41993,13.8,Friday,non
LES TROIS MOUSQUETAIRES,1999-04-19,France 5,France,1.20957,18.4,Monday,oui
LE GORILLE VOUS SALUE BIEN,1999-02-22,France 5,France,1.20957,14.7,Monday,oui
ALLEZ FRANCE,1999-02-15,France 5,France,1.20957,13.1,Monday,oui
FLIC STORY,1999-04-26,France 5,France,1.10439,17.2,Monday,oui
QUAI DES ORFÈVRES,1999-01-10,Arte,France,2.57691,10.1,Sunday,non
LITTLE BIG MAN,1999-04-25,Arte,Etats-Unis,2.36655,11.4,Sunday,oui
SALOMON ET LA REINE DE SABA,1999-11-07,Arte,Etats-Unis,2.31396,9.6,Sunday,oui
LES COMPAGNONS DE LA NOUBA,1999-12-20,Arte,Etats-Unis,2.26137,9.0,Monday,oui
LES GRANDES FAMILLES,1999-04-11,Arte,France,2.20878,9.1,Sunday,oui
PRETTY WOMAN,1999-02-21,TF1,Etats-Unis,11.46462,47.3,Sunday,oui
LE FUGITIF,1999-11-21,TF1,Etats-Unis,11.30685,47.8,Sunday,non
LES VISITEURS,1999-03-16,TF1,France,10.67577,47.8,Tuesday,non
DIDIER,1999-05-18,TF1,France,10.46541,48.1,Tuesday,non
INSPECTEUR LA BAVURE,1999-01-12,TF1,France,10.41282,44.1,Tuesday,non
CORRINA CORRINA,1999-01-11,M6,Etats-Unis,6.36339,27.3,Monday,non
TURNER ET HOOCH,1999-02-28,M6,Etats-Unis,6.10044,25.4,Sunday,oui
LA MUTANTE,1999-03-29,M6,Etats-Unis,5.15382,22.3,Monday,non
OPÉRATION DRAGON,1999-02-15,M6,Etats-Unis,5.15382,20.9,Monday,oui
LE BOULANGER DE VALORGUE,1999-01-21,M6,France,4.78569,22.6,Thursday,non
MEURTRE À LA MAISON BLANCHE,2000-11-28,France 2,Etats-Unis,8.87208,35.2,Tuesday,non
LE BONHEUR EST DANS LE PRÉ,2000-10-10,France 2,France,8.76646,36.2,Tuesday,non
LA VÉRITÉ SI JE MENS,2000-04-04,France 2,France,8.4496,34.3,Tuesday,non
MANON DES SOURCES,2000-02-08,France 2,France,7.76307,34.9,Tuesday,non
LA RANÇON,2000-11-06,France 2,Etats-Unis,7.65745,30.9,Monday,oui
LES VISITEURS 2,2000-12-07,France 3,France,8.02712,34.9,Thursday,non
LE MUR DE L'ATLANTIQUE,2000-01-20,France 3,France,5.86191,28.7,Thursday,non
MARS ATTACKS,2000-03-02,France 3,Etats-Unis,5.86191,24.8,Thursday,non
COMMANDO,2000-10-12,France 3,Etats-Unis,5.70348,23.3,Thursday,non
LE GENDARME ET LES EXTRA-TERRESTRE,2000-07-06,France 3,France,5.59786,27.2,Thursday,non
POISSON D'AVRIL,2000-10-02,France 5,France,1.32025,19.5,Monday,non
TENDRE POULET,2000-01-03,France 5,France,1.26744,13.8,Monday,oui
LE TONNERRE DE DIEU,2000-10-16,France 5,France/Allemagne/Italie,1.21463,16.2,Monday,non
COUP DE FOUDRE,2000-10-30,France 5,France,1.0562,12.4,Monday,oui
